phase_id,ampel,start,ende,dauer_tage
244,rot,2021-01-27,2021-02-01,4
245,gelb,2021-02-02,2021-02-11,8
246,grün,2021-02-12,2021-02-12,1
247,gelb,2021-02-16,2021-03-15,20
248,grün,2021-03-16,2021-03-17,2
249,gelb,2021-03-18,2021-03-19,2
250,grün,2021-03-22,2021-03-22,1
251,gelb,2021-03-23,2021-03-24,2
252,grün,2021-03-25,2021-03-26,2
253,gelb,2021-03-29,2021-03-29,1
254,grün,2021-03-30,2021-05-10,29
255,gelb,2021-05-11,2021-05-13,3
256,grün,2021-05-14,2021-05-17,2
257,gelb,2021-05-18,2021-05-21,4
258,grün,2021-05-24,2021-06-17,18
259,gelb,2021-06-18,2021-06-18,1
260,grün,2021-06-21,2021-07-16,19
261,gelb,2021-07-19,2021-07-19,1
262,grün,2021-07-20,2021-08-17,21
263,gelb,2021-08-18,2021-08-19,2
264,grün,2021-08-20,2021-09-09,14
265,gelb,2021-09-10,2021-09-10,1
266,grün,2021-09-13,2021-09-16,4
267,gelb,2021-09-17,2021-09-22,4
268,grün,2021-09-23,2021-09-27,3
269,gelb,2021-09-28,2021-10-06,7
270,grün,2021-10-07,2021-10-08,2
271,gelb,2021-10-11,2021-10-11,1
272,grün,2021-10-12,2021-11-24,32
273,gelb,2021-11-26,2021-11-30,3
274,rot,2021-12-01,2021-12-01,1
275,gelb,2021-12-02,2021-12-02,1
276,rot,2021-12-03,2021-12-03,1
277,gelb,2021-12-06,2021-12-07,2
278,grün,2021-12-08,2021-12-08,1
279,gelb,2021-12-09,2021-12-09,1
280,grün,2021-12-10,2021-12-10,1
281,gelb,2021-12-13,2021-12-14,2
282,grün,2021-12-15,2021-12-15,1
283,gelb,2021-12-16,2021-12-21,4
284,grün,2021-12-22,2022-01-12,15
285,gelb,2022-01-13,2022-01-13,1
286,grün,2022-01-14,2022-01-14,1
287,gelb,2022-01-18,2022-01-24,5
288,rot,2022-01-25,2022-01-27,3
289,gelb,2022-01-28,2022-02-08,8
290,grün,2022-02-09,2022-02-09,1
291,gelb,2022-02-10,2022-02-22,8
292,rot,2022-02-23,2022-02-24,2
293,gelb,2022-02-25,2022-02-25,1
294,rot,2022-02-28,2022-03-14,11
295,gelb,2022-03-15,2022-03-25,9
296,grün,2022-03-28,2022-03-30,3
297,gelb,2022-03-31,2022-03-31,1
298,grün,2022-04-01,2022-04-04,2
299,gelb,2022-04-05,2022-04-25,14
300,rot,2022-04-26,2022-04-27,2
301,gelb,2022-04-28,2022-04-28,1
302,rot,2022-04-29,2022-05-02,2
303,gelb,2022-05-03,2022-05-04,2
304,rot,2022-05-05,2022-05-12,6
305,gelb,2022-05-13,2022-05-17,3
306,rot,2022-05-18,2022-05-18,1
307,gelb,2022-05-19,2022-06-10,16
308,rot,2022-06-13,2022-06-14,2
309,gelb,2022-06-15,2022-06-15,1
310,rot,2022-06-16,2022-06-21,3
311,gelb,2022-06-22,2022-08-09,34
312,grün,2022-08-10,2022-08-10,1
313,gelb,2022-08-11,2022-08-11,1
314,grün,2022-08-12,2022-08-18,5
315,gelb,2022-08-19,2022-09-23,25
316,rot,2022-09-26,2022-10-03,6
317,gelb,2022-10-04,2022-10-05,2
318,rot,2022-10-06,2022-10-19,10
319,gelb,2022-10-20,2022-11-30,29
320,grün,2022-12-01,2022-12-02,2
321,gelb,2022-12-05,2023-01-11,26
322,grün,2023-01-12,2023-01-17,3
323,gelb,2023-01-18,2023-01-19,2
324,grün,2023-01-20,2023-02-08,14
325,gelb,2023-02-09,2023-02-13,3
326,grün,2023-02-14,2023-02-15,2
327,gelb,2023-02-16,2023-03-01,9
328,grün,2023-03-02,2023-03-08,5
329,gelb,2023-03-09,2023-03-27,13
330,grün,2023-03-28,2023-05-03,26
331,gelb,2023-05-04,2023-05-04,1
332,grün,2023-05-05,2023-05-23,13
333,gelb,2023-05-24,2023-05-24,1
334,grün,2023-05-25,2023-10-18,101
335,gelb,2023-10-19,2023-10-23,3
336,grün,2023-10-24,2023-10-24,1
337,gelb,2023-10-25,2023-10-27,3
338,grün,2023-10-30,2024-08-01,190
339,gelb,2024-08-02,2024-08-02,1
340,rot,2024-08-05,2024-08-05,1
341,gelb,2024-08-06,2024-08-12,5
342,grün,2024-08-13,2024-08-30,14
343,gelb,2024-09-03,2024-09-04,2
344,grün,2024-09-05,2024-09-05,1
345,gelb,2024-09-06,2024-09-06,1
346,grün,2024-09-09,2024-10-02,18
347,gelb,2024-10-03,2024-10-03,1
348,grün,2024-10-04,2024-10-04,1
349,gelb,2024-10-07,2024-10-11,5
350,grün,2024-10-14,2024-10-14,1
351,gelb,2024-10-15,2024-10-15,1
352,grün,2024-10-16,2024-10-24,7
353,gelb,2024-10-25,2024-10-25,1
354,grün,2024-10-28,2024-10-29,2
355,gelb,2024-10-30,2024-11-05,5
356,grün,2024-11-06,2024-12-17,29
357,gelb,2024-12-18,2024-12-19,2
358,grün,2024-12-20,2025-02-26,44
359,gelb,2025-02-27,2025-02-27,1
360,grün,2025-02-28,2025-02-28,1
361,gelb,2025-03-03,2025-03-18,12
362,grün,2025-03-19,2025-03-27,7
363,gelb,2025-03-28,2025-04-02,4
364,rot,2025-04-03,2025-04-16,10
365,gelb,2025-04-17,2025-04-17,1
366,rot,2025-04-21,2025-04-22,2
367,gelb,2025-04-23,2025-05-09,13
368,grün,2025-05-12,2025-05-20,7
369,gelb,2025-05-21,2025-05-23,3
370,grün,2025-05-27,2025-06-12,13
371,gelb,2025-06-13,2025-06-13,1
372,grün,2025-06-16,2025-06-16,1
373,gelb,2025-06-17,2025-06-20,3
374,grün,2025-06-23,2025-07-31,28
375,gelb,2025-08-01,2025-08-01,1
376,grün,2025-08-04,2025-10-09,48
377,gelb,2025-10-10,2025-10-10,1
378,grün,2025-10-13,2025-10-13,1
379,gelb,2025-10-14,2025-10-17,4
380,grün,2025-10-20,2025-11-12,18
381,gelb,2025-11-13,2025-11-13,1
382,grün,2025-11-14,2025-11-14,1
383,gelb,2025-11-17,2025-11-24,6
384,grün,2025-11-25,2026-01-16,36
385,gelb,2026-01-20,2026-01-20,1
386,grün,2026-01-21,2026-02-04,11
387,gelb,2026-02-05,2026-02-06,2
388,grün,2026-02-09,2026-02-11,3
389,gelb,2026-02-12,2026-02-17,3
390,grün,2026-02-18,2026-02-18,1
391,gelb,2026-02-19,2026-02-19,1
392,grün,2026-02-20,2026-02-20,1
393,gelb,2026-02-23,2026-02-23,1
394,grün,2026-02-24,2026-02-27,4
395,gelb,2026-03-02,2026-03-26,19
396,rot,2026-03-27,2026-03-30,2
397,gelb,2026-03-31,2026-04-08,6
398,grün,2026-04-09,2026-06-04,40
399,gelb,2026-06-05,2026-06-05,1
400,grün,2026-06-08,2026-06-09,2
401,gelb,2026-06-10,2026-06-10,1
402,grün,2026-06-11,2026-07-28,30
403,gelb,2026-07-29,2026-07-29,1
404,grün,2026-07-30,2026-08-19,14
