label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,muster,horizont_tage,zielgröße,n_events
B9 SMA20 Breadth Collapse,659,0.07379902512407759,0.0905797880772965,0.12436004855756475,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.0047928567807013385,4.774795727983813e-06,True,20,B9 SMA20 Breadth Collapse,90,fwd_return,660
B9 SMA20 Breadth Collapse,659,-0.11121329803412876,-0.0890505493856712,0.07611357045829495,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.34314819570495647,0.5334306581832322,False,20,B9 SMA20 Breadth Collapse,90,fwd_mdd,660
B9 SMA50 Breadth Thrust,280,0.014851870689408247,0.0219752150329922,0.06992612981475146,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.24832102785253765,0.4347463395294874,False,50,B9 SMA50 Breadth Thrust,30,fwd_return,280
B9 SMA50 Breadth Thrust,280,-0.05903099293955579,-0.040152878459657954,0.048650379038523615,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.651127072977635,0.07771074682008178,False,50,B9 SMA50 Breadth Thrust,30,fwd_mdd,280
B9 SMA50 Breadth Thrust,280,0.04418699257926455,0.055737349034508554,0.10263991279531433,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.48437760918903894,0.04598698383592146,False,50,B9 SMA50 Breadth Thrust,60,fwd_return,280
B9 SMA50 Breadth Thrust,280,-0.08625007428470381,-0.0696716240389812,0.07322943627470209,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.735763933936928,0.033426401325345675,False,50,B9 SMA50 Breadth Thrust,60,fwd_mdd,280
B9 SMA50 Breadth Thrust,277,0.07060784452735293,0.079274971810809,0.12305840742236444,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.13787380674155425,0.04961707042507632,False,50,B9 SMA50 Breadth Thrust,90,fwd_return,280
B9 SMA50 Breadth Thrust,277,-0.10353821785000668,-0.0771419700832547,0.07891020636350678,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.3347290573952447,0.03941387262767243,False,50,B9 SMA50 Breadth Thrust,90,fwd_mdd,280
B9 SMA50 Breadth Collapse,261,0.025975329474736023,0.0448034337198339,0.08443454780593,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.24689490896229102,0.0013873717917422341,False,50,B9 SMA50 Breadth Collapse,30,fwd_return,261
B9 SMA50 Breadth Collapse,261,-0.07432448736444586,-0.0479941270693776,0.06198478316412795,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.0004049245771894534,0.002685787223315851,True,50,B9 SMA50 Breadth Collapse,30,fwd_mdd,261
