label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,muster,horizont_tage,zielgröße,n_events
B9 SMA20 Breadth Collapse,666,0.045036919954793364,0.054308804074616454,0.09878404438480871,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.016053943489541752,0.0023695812294860477,True,20,B9 SMA20 Breadth Collapse,90,fwd_return,666
B9 SMA20 Breadth Collapse,666,-0.1001161928914329,-0.0775163583620283,0.07305145428382762,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.029373859115934164,0.007460644869859219,True,20,B9 SMA20 Breadth Collapse,90,fwd_mdd,666
B9 SMA50 Breadth Thrust,262,0.009695435133440214,0.0237585337053085,0.057332929328943,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.5557235294789734,0.5248019372417265,False,50,B9 SMA50 Breadth Thrust,30,fwd_return,262
B9 SMA50 Breadth Thrust,262,-0.05364972857479731,-0.0405240476770107,0.04579352584831825,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.412927215266963,0.7390606480514925,False,50,B9 SMA50 Breadth Thrust,30,fwd_mdd,262
B9 SMA50 Breadth Thrust,262,0.02674360703315709,0.04470412088426565,0.07976924854680204,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.5461749363762811,0.07165211214888975,False,50,B9 SMA50 Breadth Thrust,60,fwd_return,262
B9 SMA50 Breadth Thrust,262,-0.07634146104736987,-0.0559572235491679,0.06447007083917558,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.8598617742162753,0.5867412494733537,False,50,B9 SMA50 Breadth Thrust,60,fwd_mdd,262
B9 SMA50 Breadth Thrust,261,0.03688245932818459,0.0512271514079833,0.09829454838774651,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.7938036914261675,0.4019040899532267,False,50,B9 SMA50 Breadth Thrust,90,fwd_return,262
B9 SMA50 Breadth Thrust,261,-0.0946648178888717,-0.0714406632163116,0.06932521450611996,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.7978031130815639,0.5460337079496398,False,50,B9 SMA50 Breadth Thrust,90,fwd_mdd,262
B9 SMA50 Breadth Collapse,231,0.014945785078347325,0.0287410703316353,0.06564017763476111,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.4798556061455843,0.09334616068407153,False,50,B9 SMA50 Breadth Collapse,30,fwd_return,231
B9 SMA50 Breadth Collapse,231,-0.06952789582871254,-0.0536431734404723,0.06464957854478434,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,3.15740353390024e-05,1.0061210530446613e-05,True,50,B9 SMA50 Breadth Collapse,30,fwd_mdd,231
B9 SMA50 Breadth Collapse,231,0.04138170473799639,0.0439978466580177,0.07479517893741186,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.000532811704518518,0.003429882685192062,True,50,B9 SMA50 Breadth Collapse,60,fwd_return,231
B9 SMA50 Breadth Collapse,231,-0.08852200842533478,-0.0734559621776849,0.0674471354120207,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.004730330488668342,0.0003779226584038548,True,50,B9 SMA50 Breadth Collapse,60,fwd_mdd,231
B9 SMA50 Breadth Collapse,231,0.0572671829243149,0.0659606179823804,0.0983348008307666,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.0009929910241603835,7.510992659719053e-05,True,50,B9 SMA50 Breadth Collapse,90,fwd_return,231
B9 SMA50 Breadth Collapse,231,-0.10398733965703276,-0.0775163583620283,0.0738576031239829,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.03642047765225235,0.007779523879399122,True,50,B9 SMA50 Breadth Collapse,90,fwd_mdd,231
B9 SMA200 Breadth Thrust,13,0.01078712940447555,0.0074719470187911,0.029239448823831247,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.8995232089109948,0.5539238166046578,False,200,B9 SMA200 Breadth Thrust,30,fwd_return,13
B9 SMA200 Breadth Thrust,13,-0.052043635048444364,-0.070893369898995,0.03127386605800474,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.9303982420451627,0.5920984825856985,False,200,B9 SMA200 Breadth Thrust,30,fwd_mdd,13
B9 SMA200 Breadth Thrust,13,0.043461480909454245,0.0362912960834558,0.042997701107504525,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.12428135945081914,0.4692016155760148,False,200,B9 SMA200 Breadth Thrust,60,fwd_return,13
B9 SMA200 Breadth Thrust,13,-0.0637032149953464,-0.070893369898995,0.01830912446405927,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.03819879055891315,0.7542506421615015,False,200,B9 SMA200 Breadth Thrust,60,fwd_mdd,13
B9 SMA200 Breadth Thrust,13,0.07835917205153235,0.0614295328437495,0.04248132270761881,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.0032843330493570605,0.06079846503321797,False,200,B9 SMA200 Breadth Thrust,90,fwd_return,13
B9 SMA200 Breadth Thrust,13,-0.06561091587998827,-0.070893369898995,0.020339757955832292,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.0003190834813865986,0.2946218800026422,False,200,B9 SMA200 Breadth Thrust,90,fwd_mdd,13
B9 SMA200 Breadth Collapse,31,0.02603279131953818,0.0495174930993389,0.058158294847280356,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.18541955144237235,0.10119396319511426,False,200,B9 SMA200 Breadth Collapse,30,fwd_return,31
B9 SMA200 Breadth Collapse,31,-0.08878800410286117,-0.0430399607916824,0.0923505483527906,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.031196961182568806,0.06658756146298345,False,200,B9 SMA200 Breadth Collapse,30,fwd_mdd,31
B9 SMA200 Breadth Collapse,31,0.06688691414557786,0.0882747680199453,0.05172389088161956,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,6.474745394561308e-05,0.00030211983634795525,True,200,B9 SMA200 Breadth Collapse,60,fwd_return,31
B9 SMA200 Breadth Collapse,31,-0.11056449035161722,-0.0714406632163116,0.08322769562087726,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.02645919155944893,0.006483139550845624,True,200,B9 SMA200 Breadth Collapse,60,fwd_mdd,31
B9 SMA200 Breadth Collapse,31,0.1031168274008114,0.1214980041717748,0.06647315716377487,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,3.4316723933775935e-06,9.920507259999413e-06,True,200,B9 SMA200 Breadth Collapse,90,fwd_return,31
B9 SMA200 Breadth Collapse,31,-0.11701503385577837,-0.0960445475291299,0.08156319911193416,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.12020808309320025,0.06717840227748335,False,200,B9 SMA200 Breadth Collapse,90,fwd_mdd,31
