label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,schwelle,bezeichnung,horizont_tage,zielgröße,n_events
B7 SMA20 steigt über 50%,51,0.046701012551963086,0.079410002309342,0.18938859420420825,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.6362159098793008,0.5984411811869601,False,20,50,steigt über 50%,90,fwd_return,51
B7 SMA20 steigt über 50%,51,-0.16074275514784006,-0.1162760487356985,0.11861243439273728,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.002703213635127183,0.00015133642167718407,True,20,50,steigt über 50%,90,fwd_mdd,51
B7 SMA50 verlässt unteres Quartil (25%),44,0.028181421903132105,0.03557975427921675,0.10432456189620885,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.5979333682892853,0.16501672192999506,False,50,25,verlässt unteres Quartil (25%),30,fwd_return,44
B7 SMA50 verlässt unteres Quartil (25%),44,-0.08953340035000235,-0.07476813277196426,0.06756952395990933,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.006564181767896614,0.0005998245946932002,True,50,25,verlässt unteres Quartil (25%),30,fwd_mdd,44
B7 SMA50 verlässt unteres Quartil (25%),44,0.03902533611605333,0.054486750574949505,0.15991360562926438,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.9748290590246594,0.4712121855397814,False,50,25,verlässt unteres Quartil (25%),60,fwd_return,44
B7 SMA50 verlässt unteres Quartil (25%),44,-0.12497621682861185,-0.10125489800910989,0.10019853902565759,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.01798522194917406,0.013883648004982502,True,50,25,verlässt unteres Quartil (25%),60,fwd_mdd,44
B7 SMA50 verlässt unteres Quartil (25%),44,0.041371465337522624,0.0641345294967694,0.18063611962784754,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.51348525053173,0.6794841174020528,False,50,25,verlässt unteres Quartil (25%),90,fwd_return,44
B7 SMA50 verlässt unteres Quartil (25%),44,-0.14869094907516922,-0.1178133494352962,0.11176901087816762,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.020930880561150278,0.0103555219043464,True,50,25,verlässt unteres Quartil (25%),90,fwd_mdd,44
B7 SMA50 steigt über 50%,35,0.008028117461907451,0.0138773215879568,0.0811069718901496,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.39721367800507673,0.6377062101425222,False,50,50,steigt über 50%,30,fwd_return,35
B7 SMA50 steigt über 50%,35,-0.08631060623096522,-0.0675279157829862,0.057218847756935455,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.011377640809510587,0.006528852227193854,True,50,50,steigt über 50%,30,fwd_mdd,35
B7 SMA50 steigt über 50%,35,0.02164765666067971,0.0468757619109627,0.14367506710866138,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.46077628440899804,0.7130348922359553,False,50,50,steigt über 50%,60,fwd_return,35
B7 SMA50 steigt über 50%,35,-0.13495883970098807,-0.1131508296843011,0.09952982140295252,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.008312963883363684,0.0038307659750667572,True,50,50,steigt über 50%,60,fwd_mdd,35
B7 SMA50 steigt über 50%,35,0.059806448108123814,0.0952400539135949,0.154901278900218,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.9860675412424076,0.4301527743891187,False,50,50,steigt über 50%,90,fwd_return,35
B7 SMA50 steigt über 50%,35,-0.15173721746855925,-0.1250930921883818,0.10341702918283188,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.018023541807512207,0.0032941869875464584,True,50,50,steigt über 50%,90,fwd_mdd,35
B7 SMA200 verlässt unteres Quartil (25%),36,0.01657814399861322,0.03403044722426635,0.09143474070435739,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.833582398682547,0.37817921723959147,False,200,25,verlässt unteres Quartil (25%),30,fwd_return,36
B7 SMA200 verlässt unteres Quartil (25%),36,-0.09219690006063368,-0.0792365617133186,0.06920159137157234,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.009250808157349652,0.00035016987922876364,True,200,25,verlässt unteres Quartil (25%),30,fwd_mdd,36
B7 SMA200 verlässt unteres Quartil (25%),36,0.03315016640667117,0.06361265348363959,0.14301465447795952,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.7824894929260698,0.4426699752350851,False,200,25,verlässt unteres Quartil (25%),60,fwd_return,36
B7 SMA200 verlässt unteres Quartil (25%),36,-0.12538078072905778,-0.0969004876023628,0.09407301104317149,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.022041432468785035,0.004184700593415136,True,200,25,verlässt unteres Quartil (25%),60,fwd_mdd,36
B7 SMA200 verlässt unteres Quartil (25%),36,0.037629230017727985,0.06201588195371395,0.176712716486425,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.4664842645269061,0.48455786372628773,False,200,25,verlässt unteres Quartil (25%),90,fwd_return,36
B7 SMA200 verlässt unteres Quartil (25%),36,-0.14724758627771106,-0.1131508296843011,0.103179936974979,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.02978224877017795,0.008445422776811958,True,200,25,verlässt unteres Quartil (25%),90,fwd_mdd,36
B7 SMA200 steigt über 50%,13,0.02613770353640736,0.057935379953409,0.06279762303715733,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.7230613821415186,0.4641850076947802,False,200,50,steigt über 50%,30,fwd_return,13
B7 SMA200 steigt über 50%,13,-0.06403788030050478,-0.0513403385726566,0.0412571633954062,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.755147751672322,0.4789414024798505,False,200,50,steigt über 50%,30,fwd_mdd,13
B7 SMA200 steigt über 50%,13,0.07554127331763319,0.1267541034807273,0.13397953197154372,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.355254138418054,0.03954794710418976,False,200,50,steigt über 50%,60,fwd_return,13
B7 SMA200 steigt über 50%,13,-0.09403964478778679,-0.0728922475311698,0.09603004600611591,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.8176604680818076,0.9232224797109063,False,200,50,steigt über 50%,60,fwd_mdd,13
B7 SMA200 steigt über 50%,13,0.12340966338374057,0.1079166074030262,0.1652539128298926,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.18767888458856102,0.008360723689750363,False,200,50,steigt über 50%,90,fwd_return,13
B7 SMA200 steigt über 50%,13,-0.10769121011927231,-0.0759860004431591,0.11151678433635914,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.9863953629037409,0.43253325892687755,False,200,50,steigt über 50%,90,fwd_mdd,13
