label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,schwelle,bezeichnung,horizont_tage,zielgröße,n_events
B7 SMA20 steigt über 50%,56,0.04370725404948601,0.04906094335100625,0.11953274839502867,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,0.5177233130705795,0.28155031481205073,False,20,50,steigt über 50%,90,fwd_return,56
B7 SMA20 steigt über 50%,56,-0.12249553673662354,-0.0914049638738966,0.06092260635823348,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,0.46877526510514994,0.5107386956411102,False,20,50,steigt über 50%,90,fwd_mdd,56
B7 SMA50 verlässt unteres Quartil (25%),38,0.017518185563950607,0.0125840333332295,0.08423752808907778,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.6855225149902844,0.7175721403697748,False,50,25,verlässt unteres Quartil (25%),30,fwd_return,38
B7 SMA50 verlässt unteres Quartil (25%),38,-0.0770816443657201,-0.06375593804512365,0.04933389140933923,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.11653490672827224,0.10109696764550176,False,50,25,verlässt unteres Quartil (25%),30,fwd_mdd,38
B7 SMA50 verlässt unteres Quartil (25%),38,0.029088027401289514,0.043853655281249446,0.08278718493481019,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.6560898913474512,0.48663820186467577,False,50,25,verlässt unteres Quartil (25%),60,fwd_return,38
B7 SMA50 verlässt unteres Quartil (25%),38,-0.10827979451696379,-0.10030419228900059,0.053051354273374096,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,0.11890966701109276,0.06574058374567449,False,50,25,verlässt unteres Quartil (25%),60,fwd_mdd,38
B7 SMA50 verlässt unteres Quartil (25%),38,0.025340568121981242,0.04463275241467165,0.11752925786246989,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,0.6833278078048243,0.9862536527381742,False,50,25,verlässt unteres Quartil (25%),90,fwd_return,38
B7 SMA50 verlässt unteres Quartil (25%),38,-0.12664701200860026,-0.12350580641084796,0.06126692937621427,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,0.31694128622877576,0.2889293490570075,False,50,25,verlässt unteres Quartil (25%),90,fwd_mdd,38
B7 SMA50 steigt über 50%,31,-0.0002530055740993934,0.0030002323369846,0.07095037421992753,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.3492588417177099,0.4055739130179645,False,50,50,steigt über 50%,30,fwd_return,31
B7 SMA50 steigt über 50%,31,-0.07589949682748609,-0.0683411850471995,0.044960507856217344,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.1581967844094829,0.0599296399969344,False,50,50,steigt über 50%,30,fwd_mdd,31
B7 SMA50 steigt über 50%,31,-0.004743921238644785,0.0036260335223929,0.11326631568556718,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.18395219943295582,0.30030071579143136,False,50,50,steigt über 50%,60,fwd_return,31
B7 SMA50 steigt über 50%,31,-0.11798494413269603,-0.0925646088758235,0.05891170507322064,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,0.03445477670772766,0.004997619738696661,True,50,50,steigt über 50%,60,fwd_mdd,31
B7 SMA50 steigt über 50%,31,0.010177554521259709,-0.0153786183115346,0.09357078460305936,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,0.1833127939707123,0.16279065230140455,False,50,50,steigt über 50%,90,fwd_return,31
B7 SMA50 steigt über 50%,31,-0.1365520034801214,-0.1205932876137922,0.05773529148934615,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,0.06405899057883047,0.012943627430732001,False,50,50,steigt über 50%,90,fwd_mdd,31
B7 SMA200 verlässt unteres Quartil (25%),15,0.03209208321330471,0.0524424453434748,0.07268061691623229,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.30141777592959473,0.11791780104320387,False,200,25,verlässt unteres Quartil (25%),30,fwd_return,15
B7 SMA200 verlässt unteres Quartil (25%),15,-0.07799516063470024,-0.0525800042180205,0.0458412036377234,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.26279008710653634,0.22265560401307227,False,200,25,verlässt unteres Quartil (25%),30,fwd_mdd,15
B7 SMA200 verlässt unteres Quartil (25%),15,0.052434730575876304,0.0784782315001257,0.07414441348573919,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.14774064660032107,0.09793467145930236,False,200,25,verlässt unteres Quartil (25%),60,fwd_return,15
B7 SMA200 verlässt unteres Quartil (25%),15,-0.10307958447523498,-0.0902453188719697,0.046660132260718135,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,0.48663519895302493,0.21372471885054223,False,200,25,verlässt unteres Quartil (25%),60,fwd_mdd,15
B7 SMA200 verlässt unteres Quartil (25%),15,0.08939088456003508,0.0931257951752335,0.07384858465642127,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,0.010783801369307807,0.01301511202949428,True,200,25,verlässt unteres Quartil (25%),90,fwd_return,15
B7 SMA200 verlässt unteres Quartil (25%),15,-0.10746166233275162,-0.0902453188719697,0.04184060992240565,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,0.42045369896498797,0.9451936189382727,False,200,25,verlässt unteres Quartil (25%),90,fwd_mdd,15
