label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,fenster_tage,horizont_tage,zielgröße,anteil_divergenz
Divergenz 10d,2250,-0.0505928900007905,-0.0390382202572884,0.04398631330288919,Konvergenz 10d,2600,-0.052106474235794495,-0.0390382202572884,0.048089378916576955,0.25252716214502724,0.9877277685346686,False,Index,10,30,fwd_mdd,0.46158561503882306
Divergenz 10d,2237,0.02330650926683384,0.0351333695803712,0.07723737395224602,Konvergenz 10d,2584,0.023977722997105044,0.034402970574301694,0.0759978531550971,0.7617791761116162,0.7525558121680889,False,Index,10,60,fwd_return,0.46158561503882306
Divergenz 10d,2237,-0.07495381649875502,-0.0562159838711667,0.061438054393292515,Konvergenz 10d,2584,-0.07631022427742204,-0.057555936154791,0.06309289394907998,0.4503030018462862,0.3355202207039789,False,Index,10,60,fwd_mdd,0.46158561503882306
Divergenz 10d,2222,0.03555999748296032,0.046545445420835246,0.09395044181084854,Konvergenz 10d,2569,0.03513848312781089,0.0483046499373469,0.09311595292770398,0.8764303073906192,0.7971269437754527,False,Index,10,90,fwd_return,0.46158561503882306
Divergenz 10d,2222,-0.09328047187520568,-0.0714406632163116,0.07247599163350636,Konvergenz 10d,2569,-0.09369018453011252,-0.0727652266488336,0.07312336062296022,0.8459305590162713,0.7246527779676679,False,Index,10,90,fwd_mdd,0.46158561503882306
Divergenz 21d,1725,0.012535989171485733,0.0176680111192359,0.055505242125768524,Konvergenz 21d,3117,0.011361507561530924,0.018566821635265,0.056615070186311255,0.4839094813005851,0.6102988118565913,False,Total,21,30,fwd_return,0.3539027380465877
Divergenz 21d,1725,-0.05049012137726045,-0.036646969787955,0.04699877286078275,Konvergenz 21d,3117,-0.05189602789298385,-0.0396939171561014,0.04586591710081952,0.3147767032202636,0.14445654527274496,False,Total,21,30,fwd_mdd,0.3539027380465877
Divergenz 21d,1713,0.02245561321837363,0.0351614941247913,0.07709990358353004,Konvergenz 21d,3100,0.024197536139797818,0.034250564138428155,0.07646183918948025,0.4516990361417916,0.7570166440755174,False,Total,21,60,fwd_return,0.3539027380465877
Divergenz 21d,1713,-0.07532179553467648,-0.0559572235491679,0.06331863929747848,Konvergenz 21d,3100,-0.07598934697475244,-0.057555936154791,0.06190068127467997,0.7241221013063441,0.2160870947981237,False,Total,21,60,fwd_mdd,0.3539027380465877
Divergenz 21d,1708,0.03619902820455602,0.04832714435613635,0.09362283602151521,Konvergenz 21d,3075,0.03475907158309119,0.0464683483221817,0.09358292396126944,0.6102644590328533,0.533442853922192,False,Total,21,90,fwd_return,0.3539027380465877
Divergenz 21d,1708,-0.09355436804857731,-0.070893369898995,0.0753004610303531,Konvergenz 21d,3075,-0.09363487738817633,-0.0734559621776849,0.07151319244484022,0.9712313868421967,0.19922993748626583,False,Total,21,90,fwd_mdd,0.3539027380465877
Divergenz 21d,1702,0.012115101932978692,0.0176808094268445,0.054558146482454516,Konvergenz 21d,3133,0.011613786118109252,0.0185662798415537,0.05714511787374123,0.7641440658854723,0.7796657795760127,False,Equity,21,30,fwd_return,0.34920310584389047
Divergenz 21d,1702,-0.05036600297388837,-0.0384211398694267,0.04599280784609857,Konvergenz 21d,3133,-0.05195387927656866,-0.0392796679367677,0.046467333678502275,0.25337571455641417,0.2554736112412165,False,Equity,21,30,fwd_mdd,0.34920310584389047
Divergenz 21d,1693,0.02297929810157758,0.0340209177672927,0.07425029415887437,Konvergenz 21d,3113,0.023925451086451183,0.0347982884847482,0.0780019598185821,0.6785460282001983,0.4845315491940678,False,Equity,21,60,fwd_return,0.34920310584389047
Divergenz 21d,1693,-0.07420402565080082,-0.0561926450900019,0.06069883955911244,Konvergenz 21d,3113,-0.07654577394614466,-0.0573658648853468,0.06331894412790434,0.20840872772796487,0.28301206758183883,False,Equity,21,60,fwd_mdd,0.34920310584389047
Divergenz 21d,1691,0.03740002972275861,0.0496136362964394,0.0889824607440273,Konvergenz 21d,3085,0.03424661776949324,0.0461324009015153,0.09579624507793187,0.2545295987283582,0.3914831064137262,False,Equity,21,90,fwd_return,0.34920310584389047
Divergenz 21d,1691,-0.09142161269549733,-0.070893369898995,0.0709937218966405,Konvergenz 21d,3085,-0.09464653374107627,-0.0734559621776849,0.07365683357276366,0.13859159648300767,0.17973109751662653,False,Equity,21,90,fwd_mdd,0.34920310584389047
Divergenz 21d,2196,0.013606142981670547,0.01904359392695725,0.05579243350142723,Konvergenz 21d,2647,0.010316616478541181,0.0179463245192639,0.05654262825869093,0.04238972182085996,0.09066591045101123,False,Index,21,30,fwd_return,0.45075602778912954
Divergenz 21d,2196,-0.05089947776160471,-0.038756789747388,0.046509030988013705,Konvergenz 21d,2647,-0.05173175460939078,-0.0391489836726732,0.04600245722855284,0.5332941417864663,0.5690516628256992,False,Index,21,30,fwd_mdd,0.45075602778912954
Divergenz 21d,2182,0.0241021959058098,0.03513730554283485,0.077287948952777,Konvergenz 21d,2632,0.023154520032914194,0.034064383661518496,0.07618502747769165,0.6699397856688757,0.49860738893292256,False,Index,21,60,fwd_return,0.45075602778912954
Divergenz 21d,2182,-0.07558530451421719,-0.0562159838711667,0.062461257017029176,Konvergenz 21d,2632,-0.07582245667786769,-0.05729189932131,0.062321257783553144,0.8955651793789889,0.6968477243686115,False,Index,21,60,fwd_mdd,0.45075602778912954
Divergenz 21d,2172,0.037026327279720064,0.0462894887171889,0.09398760620229563,Konvergenz 21d,2612,0.03387182565582764,0.0485757153188847,0.09326573392212865,0.2461774274884172,0.5433080239614398,False,Index,21,90,fwd_return,0.45075602778912954
Divergenz 21d,2172,-0.0930502849692732,-0.0714406632163116,0.07270943097121735,Konvergenz 21d,2612,-0.09399369015922174,-0.0734559621776849,0.07300783285151045,0.6556298150794286,0.5568290358343001,False,Index,21,90,fwd_mdd,0.45075602778912954
Divergenz 63d,1932,0.009517879244442258,0.0176958049190244,0.05757688575519981,Konvergenz 63d,2859,0.012744806903081602,0.0181063918354875,0.055508289149901774,0.053594183453827306,0.19001747769733235,False,Total,63,30,fwd_return,0.3978340825500613
Divergenz 63d,1932,-0.051639901082141525,-0.038756789747388,0.048339698542877056,Konvergenz 63d,2859,-0.051760245385523256,-0.0394420642813511,0.04503439960538706,0.930773814765966,0.3306661931452163,False,Total,63,30,fwd_mdd,0.3978340825500613
Divergenz 63d,1926,0.02344677255433585,0.03405159249795005,0.07581242682155605,Konvergenz 63d,2836,0.023023732841220026,0.034266224029452855,0.07767446711752658,0.8515812460629882,0.9980036595280715,False,Total,63,60,fwd_return,0.3978340825500613
Divergenz 63d,1926,-0.07446158065492305,-0.05574475397757,0.06354285603577382,Konvergenz 63d,2836,-0.07734050154154176,-0.057612606689676,0.06185750664191221,0.12099322690933861,0.002180354588009246,False,Total,63,60,fwd_mdd,0.3978340825500613
Divergenz 63d,1917,0.03795267824154596,0.05134309478267,0.08921944032353175,Konvergenz 63d,2815,0.03351015640673142,0.0444312964749209,0.09681821542893637,0.10442821076310037,0.047937205442685184,False,Total,63,90,fwd_return,0.3978340825500613
Divergenz 63d,1917,-0.09056950609906736,-0.070893369898995,0.0726588405626957,Konvergenz 63d,2815,-0.09608038437436407,-0.0740145951999571,0.07325901359864187,0.010723659509200614,3.78913347331074e-05,True,Total,63,90,fwd_mdd,0.3978340825500613
Divergenz 63d,1856,0.0077521097718495306,0.01605903166629365,0.05607176434958464,Konvergenz 63d,2939,0.01380554745055944,0.0191494446852906,0.05642398216256733,0.00028433452529022534,0.0005695990433506488,True,Equity,63,30,fwd_return,0.3825091949325705
Divergenz 63d,1856,-0.051628603134242106,-0.039456169158756396,0.046233080610385995,Konvergenz 63d,2939,-0.05173150341231808,-0.0390382202572884,0.04647837255305199,0.9402865375007311,0.8766718551148647,False,Equity,63,30,fwd_mdd,0.3825091949325705
Divergenz 63d,1851,0.022754036477009743,0.03259483000648,0.07066127873564468,Konvergenz 63d,2915,0.023514728990779946,0.0351810973819486,0.08064561908475733,0.7318802528345663,0.13910287593949372,False,Equity,63,60,fwd_return,0.3825091949325705
Divergenz 63d,1851,-0.07370047474531435,-0.0559572235491679,0.05890075098131841,Konvergenz 63d,2915,-0.07771285204632081,-0.057555936154791,0.06472280138045415,0.027511308762723473,0.038844764350728124,True,Equity,63,60,fwd_mdd,0.3825091949325705
Divergenz 63d,1844,0.03702870309374696,0.05123314142301455,0.08629378313770199,Konvergenz 63d,2892,0.03413383733446572,0.0449111527889303,0.09846426782846189,0.2870075166651733,0.31381430469326843,False,Equity,63,90,fwd_return,0.3825091949325705
Divergenz 63d,1844,-0.08955665736541883,-0.070893369898995,0.06795545703463911,Konvergenz 63d,2892,-0.0965948181128735,-0.0740145951999571,0.07599510608165364,0.0009164292747026012,0.0005146203476530323,True,Equity,63,90,fwd_mdd,0.3825091949325705
Divergenz 63d,2375,0.011896374481820633,0.0186425507527943,0.056615956452831906,Konvergenz 63d,2423,0.011038611627631877,0.0174752337398873,0.0560660753703089,0.5980629488940327,0.5624223137740727,False,Index,63,30,fwd_return,0.4875357580711075
Divergenz 63d,2375,-0.05180467634050823,-0.0396369317751845,0.04654346906167011,Konvergenz 63d,2423,-0.05158288244676464,-0.038756789747388,0.04620750609117154,0.8684605550333581,0.595820909393774,False,Index,63,30,fwd_mdd,0.4875357580711075
Divergenz 63d,2360,0.02173321523874002,0.0330307205831087,0.07922461208538892,Konvergenz 63d,2409,0.02467823971660893,0.0347470767736117,0.07451121082354537,0.18630046865939304,0.2846515170490611,False,Index,63,60,fwd_return,0.4875357580711075
Divergenz 63d,2360,-0.07707861119385687,-0.0562159838711667,0.06388651265298088,Konvergenz 63d,2409,-0.07526521250185433,-0.057555936154791,0.06118458064491264,0.31699441212748397,0.4645508293214182,False,Index,63,60,fwd_mdd,0.4875357580711075
Divergenz 63d,2342,0.03355304417120996,0.04441843146237075,0.09487139009862353,Konvergenz 63d,2397,0.03694008511056006,0.0505703029767687,0.0928513960619548,0.21438617099582605,0.18887749411036092,False,Index,63,90,fwd_return,0.4875357580711075
Divergenz 63d,2342,-0.09533901488672153,-0.0720073499468654,0.07499818694308835,Konvergenz 63d,2397,-0.09240170671900103,-0.0714406632163116,0.07120288131682193,0.1670098523100739,0.3443561923831112,False,Index,63,90,fwd_mdd,0.4875357580711075
